Herstellernummer,Zulassung,Gemeinden,Number of Vehicle,Defective Vehicle,Number of Components,Defective Components,Number of Parts,Defective Parts
1,2014-01-03,BOCHUM,8,7,32,5,104,7
1,2014-01-03,DORTMUND,14,14,56,9,182,19
1,2014-01-03,GELSENKIRCHEN,4,4,16,3,52,7
1,2014-01-08,BOCHUM,24,22,96,14,312,26
1,2014-01-08,DORTMUND,11,10,44,6,143,15
1,2014-01-08,GELSENKIRCHEN,10,9,40,6,130,17
1,2014-01-09,BOCHUM,10,10,40,6,130,24
1,2014-01-09,DORTMUND,18,15,72,17,234,14
1,2014-01-09,GELSENKIRCHEN,6,5,24,4,78,5
1,2014-01-13,BOCHUM,10,10,40,3,130,15
1,2014-01-13,DORTMUND,20,17,80,9,260,22
1,2014-01-13,GELSENKIRCHEN,4,3,16,0,52,10
1,2014-01-14,BOCHUM,6,6,24,3,78,10
1,2014-01-14,DORTMUND,12,10,48,8,156,19
1,2014-01-15,DORTMUND,2,2,8,1,26,4
1,2014-01-16,BOCHUM,8,8,32,3,104,19
1,2014-01-16,DORTMUND,18,16,72,8,234,24
1,2014-01-16,GELSENKIRCHEN,8,4,32,4,104,7
1,2014-01-17,BOCHUM,10,9,40,8,130,18
1,2014-01-17,DORTMUND,18,16,72,14,234,25
1,2014-01-17,GELSENKIRCHEN,4,4,16,3,52,5
1,2014-01-20,BOCHUM,12,12,48,9,156,18
1,2014-01-20,DORTMUND,22,20,88,10,286,27
1,2014-01-20,GELSENKIRCHEN,3,3,12,2,39,3
1,2014-01-21,BOCHUM,59,51,236,19,767,83
1,2014-01-21,DORTMUND,132,112,528,54,1716,180
1,2014-01-22,DORTMUND,2,2,8,0,26,5
1,2014-01-23,BOCHUM,28,22,112,12,364,32
1,2014-01-23,DORTMUND,32,29,128,19,416,46
1,2014-01-23,GELSENKIRCHEN,12,11,48,6,156,17
1,2014-01-24,BOCHUM,12,9,48,1,156,19
1,2014-01-24,DORTMUND,26,24,104,11,338,29
1,2014-01-24,GELSENKIRCHEN,10,9,40,5,130,9
1,2014-01-27,GELSENKIRCHEN,1,1,4,1,13,1
